study_key,study_id_column,source_file_column,n_rows,n_columns,study_id,source_file,title,citation_or_author,year_min,year_max,years,season_column,n_non_missing_season,n_unique_season,season_values,district_column,n_non_missing_district,n_unique_district,district_values,site_column,n_non_missing_site,n_unique_site,site_values,province_column,n_non_missing_province,n_unique_province,province_values,municipality_column,n_non_missing_municipality,n_unique_municipality,municipality_values,agroecology_column,n_non_missing_agroecology,n_unique_agroecology,agroecology_values,treatment_group_column,n_non_missing_treatment_group,n_unique_treatment_group,treatment_group_values,variety_column,n_non_missing_variety,n_unique_variety,variety_values,grain_yield_column,n_non_missing_grain_yield,n_unique_grain_yield,grain_yield_median,grain_yield_min,grain_yield_max,grain_yield_values,n_rate_column,n_non_missing_n_rate,n_unique_n_rate,n_rate_median,n_rate_min,n_rate_max,n_rate_values,p_rate_column,n_non_missing_p_rate,n_unique_p_rate,p_rate_median,p_rate_min,p_rate_max,p_rate_values,k_rate_column,n_non_missing_k_rate,n_unique_k_rate,k_rate_median,k_rate_min,k_rate_max,k_rate_values,latitude_column,n_non_missing_latitude,n_unique_latitude,latitude_median,latitude_min,latitude_max,latitude_values,longitude_column,n_non_missing_longitude,n_unique_longitude,longitude_median,longitude_min,longitude_max,longitude_values,soil_ph_column,n_non_missing_soil_ph,n_unique_soil_ph,soil_ph_values,soil_organic_column,n_non_missing_soil_organic,n_unique_soil_organic,soil_organic_values,soil_n_column,n_non_missing_soil_n,n_unique_soil_n,soil_n_values,soil_p_column,n_non_missing_soil_p,n_unique_soil_p,soil_p_values,soil_k_column,n_non_missing_soil_k,n_unique_soil_k,soil_k_values,has_yield,has_coordinates,has_n_rate,has_treatment_group,has_season,has_district,missing_core_fields,check_status
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,source_id,source_file,2,599,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,,,2015.0,2015.0,2015,season,2,1,winter,district,2,1,Morang,site,2,1,Itahara and Rajghat,province,2,1,Koshi / Province 1,municipality,2,1,Itahara and Rajghat,agroecology,0,0,,treatment_group,2,2,farmer_practice; recommendation,variety_name_std,0,0,,grain_yield_Mg_ha,2,2,6.29,4.52,8.06,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,2,1,26.61029636229869,26.61029636229869,26.61029636229869,,longitude,2,1,87.47574202736499,87.47574202736499,87.47574202736499,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
6.khanal_2018_ne_m_n | 40-IJEAB-DEC-2018-21-Productivityand.pdf,source_id,source_file,2,599,6.khanal_2018_ne_m_n,40-IJEAB-DEC-2018-21-Productivityand.pdf,,,2015.0,2015.0,2015,season,2,1,winter,district,2,1,Jhapa,site,2,1,Damak; Gauradaha,province,0,0,,municipality,2,1,Damak; Gauradaha,agroecology,0,0,,treatment_group,2,2,farmer_practice; recommendation,variety_name_std,0,0,,grain_yield_Mg_ha,2,2,7.08,4.94,9.22,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,2,1,26.602707,26.602707,26.602707,,longitude,2,1,87.690745,87.690745,87.690745,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
"19.adhikary_2020_fert-rate_m_n | jibanshrestha1,+Article-31 (1).pdf",source_id,source_file,10,599,19.adhikary_2020_fert-rate_m_n,"jibanshrestha1,+Article-31 (1).pdf",,,2016.0,2016.0,2016,season,10,1,winter,district,10,1,Chitwan,site,10,1,"National Maize Research Program, Rampur",province,10,1,Bagmati,municipality,10,1,Bharatpur,agroecology,0,0,,treatment_group,10,1,fertilizer_dose_x_plant_density,variety_name_std,0,0,,grain_yield_Mg_ha,10,10,6.575,5.63,7.91,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,10,1,27.666667,27.666667,27.666667,,longitude,10,1,84.316667,84.316667,84.316667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
33.dahal_2018_ne_m-w_n,source_id,source_file,4,599,33.dahal_2018_ne_m-w_n,,,,2016.0,2016.0,2016,season,4,1,winter/spring maize,district,4,2,Jhapa; Morang,site,4,2,Jhapa; Morang,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,4,1,general,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,4,1,26.631185,26.631185,26.631185,,longitude,4,1,87.720886,87.720886,87.720886,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
46.gautam_2018_ne_m_n,source_id,source_file,3,599,46.gautam_2018_ne_m_n,,,,2016.0,2016.0,2016,season,3,1,maize,district,3,1,Jhapa,site,3,1,"Garamani, Jhapa",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,3,1,Dekalb,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,3,1,26.58324386227032,26.58324386227032,26.58324386227032,,longitude,3,1,87.88818079964406,87.88818079964406,87.88818079964406,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
8.pandit_2025_nrate-ntime-udp_m_n | maize_demo-2017.csv,source_id,source_file,264,599,8.pandit_2025_nrate-ntime-udp_m_n,maize_demo-2017.csv,,,2017.0,2017.0,2017.0,season,0,0,,district,264,2,Dang; Surkhet,site,264,19,Dhikpur; Dhuruwa; Gadhi; Ghumkhare; Guthu; Hapur; Kalyan; Laxmipur; Lekhpharsa; Maintada-3; Maintada-4; Panchakule; ... (+7 more),province,0,0,,municipality,264,19,Dhikpur; Dhuruwa; Gadhi; Ghumkhare; Guthu; Hapur; Kalyan; Laxmipur; Lekhpharsa; Maintada-3; Maintada-4; Panchakule; ... (+7 more),agroecology,0,0,,treatment_group,264,2,demonstration_package; not_classified,variety_name_std,0,0,,grain_yield_Mg_ha,263,243,5.51392798,0.0,27.16836,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,264,209,28.42079029,27.96753,28.8524475,,longitude,264,209,81.89624875,81.2900299,82.51870166666659,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,False,True,n_rate; season,review_core_fields
8.pandit_2025_nrate-ntime-udp_m_n | maize_trials_2017.xlsx,source_id,source_file,512,599,8.pandit_2025_nrate-ntime-udp_m_n,maize_trials_2017.xlsx,,,2017.0,2017.0,2017,season,512,1,Summer,district,512,2,Dang; Surkhet,site,512,19,Babiyachaur; Dhikpur; Dhuruwa; Gadhi; Ghumkhare; Guthu; Hapur; Kalyan; Laxmipur; Lekhpharsa; Maintada-3; Maintada-4; ... (+7 more),province,0,0,,municipality,512,19,Babiyachaur; Dhikpur; Dhuruwa; Gadhi; Ghumkhare; Guthu; Hapur; Kalyan; Laxmipur; Lekhpharsa; Maintada-3; Maintada-4; ... (+7 more),agroecology,0,0,,treatment_group,512,4,control; n_rate; not_classified; omission,variety_name_std,0,0,,grain_yield_Mg_ha,512,446,8.211500000000001,1.92,19.0967,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,512,504,28.42063737,27.96763167,28.8513065,,longitude,512,506,81.8976356,81.2906287,82.51854,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
8.pandit_2025_nrate-ntime-udp_m_n | maize_demo-2018.csv,source_id,source_file,330,599,8.pandit_2025_nrate-ntime-udp_m_n,maize_demo-2018.csv,,,2018.0,2018.0,2018; 2018.0,season,0,0,,district,330,5,Dang; Doti; Kavre; Palpa; Surkhet,site,330,26,Anekot; Babiyachaur; Bhakundebesi; Chhatiwan; Chidipani; Devinagar; Dhikpur; Dhuruwa; Gadhi; Ghanteshwor; Guthu; Hapur; ... (+14 more),province,0,0,,municipality,330,26,Anekot; Babiyachaur; Bhakundebesi; Chhatiwan; Chidipani; Devinagar; Dhikpur; Dhuruwa; Gadhi; Ghanteshwor; Guthu; Hapur; ... (+14 more),agroecology,0,0,,treatment_group,330,3,4r_demonstration; farmer_practice; not_classified,variety_name_std,0,0,,grain_yield_Mg_ha,330,312,7.23,3.014,12.8,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,330,316,28.190267155,27.55457636,29.14441719,,longitude,330,316,82.09580248500001,80.59130555,85.66743172,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,False,True,n_rate; season,review_core_fields
8.pandit_2025_nrate-ntime-udp_m_n | maize_trials-2018.csv,source_id,source_file,611,599,8.pandit_2025_nrate-ntime-udp_m_n,maize_trials-2018.csv,,,2018.0,2018.0,2018,season,0,0,,district,611,5,Dang; Doti; Kavre; Palpa; Surkhet,site,611,34,Anekot; Babiyachaur; Bhakundebesi; Chattiwan; Chidipani; Devinagar; Dhikpur; Dhuruwa; Gadhi; Ghantesori; Guthu; Hapur; ... (+22 more),province,0,0,,municipality,611,34,Anekot; Babiyachaur; Bhakundebesi; Chattiwan; Chidipani; Devinagar; Dhikpur; Dhuruwa; Gadhi; Ghantesori; Guthu; Hapur; ... (+22 more),agroecology,0,0,,treatment_group,611,4,control; n_timing; not_classified; omission,variety_name_std,0,0,,grain_yield_Mg_ha,610,548,7.739,0.549,100.09,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,611,576,28.18209987,27.55441664,29.14448158,,longitude,611,574,82.10252247,80.59137803,85.66764621,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,False,True,n_rate; season,review_core_fields
10.sapkota_2025_inm_m_n,source_id,source_file,8,599,10.sapkota_2025_inm_m_n,,,,2019.0,2019.0,2019.0,season,8,1,spring,district,8,1,Parbat,site,8,1,farmer field approximately 1.5 km west of Kushma,province,0,0,,municipality,8,1,Phalewas,agroecology,0,0,,treatment_group,8,3,chemical_fertilizer; integrated_nutrient_management; organic_source,variety_name_std,0,0,,grain_yield_Mg_ha,8,8,1.975,1.0,3.13,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,8,1,28.15100101998486,28.15100101998486,28.15100101998486,,longitude,8,1,83.69993939589448,83.69993939589448,83.69993939589448,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
18.rawal_2023_legume_m_n,source_id,source_file,8,599,18.rawal_2023_legume_m_n,,,,2019.0,2019.0,2019,season,8,1,maize 2018/19 after winter legume/fallow,district,8,1,Dailekh,site,8,1,"Horticulture Research Station, Dailekh",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,8,1,Deuti,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,4,3,30.0,0.0,120.0,,P2O5_rate_kg_ha,4,3,15.0,0.0,60.0,,K2O_rate_kg_ha,4,3,10.0,0.0,40.0,,latitude,8,1,28.84627,28.84627,28.84627,,longitude,8,1,81.72429,81.72429,81.72429,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
22.adhikari_2021_n-rate-var_m_n,source_id,source_file,7,599,22.adhikari_2021_n-rate-var_m_n,,,,2019.0,2019.0,2019,season,7,1,monsoon,district,7,1,Dang,site,7,1,"Lamahi Municipality, Dang",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,7,4,10V10; Bioseed Rajkumar; NMH-731; pooled: 10V10; Bioseed Rajkumar; NMH-731,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,4,4,190.0,160.0,220.0,,P2O5_rate_kg_ha,4,1,60.0,60.0,60.0,,K2O_rate_kg_ha,4,1,40.0,40.0,40.0,,latitude,7,1,27.96754711355694,27.96754711355694,27.96754711355694,,longitude,7,1,82.48009364094624,82.48009364094624,82.48009364094624,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
32.rawal_2024_nrate_m_n,source_id,source_file,21,599,32.rawal_2024_nrate_m_n,,,,2019.0,2020.0,2019; 2019-2020 pooled; 2020,season,21,1,summer maize,district,21,1,Lalitpur,site,21,1,"Khumaltar, Lalitpur",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,21,1,Khumal Hybrid Maize-2,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,21,6,120.0,0.0,210.0,,P2O5_rate_kg_ha,21,2,60.0,0.0,60.0,,K2O_rate_kg_ha,21,2,40.0,0.0,40.0,,latitude,21,1,27.65,27.65,27.65,,longitude,21,1,85.33,85.33,85.33,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
39.rawal_2022_fert_m-w_n,source_id,source_file,18,599,39.rawal_2022_fert_m-w_n,,,,2019.0,2021.0,2019; 2021,season,18,2,maize-wheat system; M1; maize-wheat system; M2,district,18,1,Lalitpur,site,18,1,"Khumaltar, Lalitpur",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,18,1,Khumal Hybrid Maize-2,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,6,3,180.0,150.0,210.0,,P2O5_rate_kg_ha,6,3,60.0,40.0,80.0,,K2O_rate_kg_ha,6,3,60.0,40.0,80.0,,latitude,18,1,27.65,27.65,27.65,,longitude,18,1,85.33,85.33,85.33,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
40.adhikari_2022_fert-manure_m_n,source_id,source_file,24,599,40.adhikari_2022_fert-manure_m_n,,,,2019.0,2020.0,2019; 2020,season,24,1,winter maize,district,24,1,Chitwan,site,24,1,"NMRP Rampur, Chitwan",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,24,1,Rampur-4,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,24,3,60.0,0.0,120.0,,P2O5_rate_kg_ha,24,4,30.0,0.0,60.0,,K2O_rate_kg_ha,24,3,20.0,0.0,40.0,,latitude,24,1,27.65,27.65,27.65,,longitude,24,1,84.35,84.35,84.35,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
49.marahatta_2020_fert-mulch_m_n,source_id,source_file,12,599,49.marahatta_2020_fert-mulch_m_n,,,,2019.0,2019.0,2019,season,12,1,spring maize,district,12,1,Chitwan,site,12,1,"NMRP Rampur, Chitwan",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,12,1,general,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,12,4,75.0,0.0,150.0,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,12,1,27.65,27.65,27.65,,longitude,12,1,84.35,84.35,84.35,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
"7.marahatta_2021_nrate-density_m_n | 63-78+Agronomy+Journal+of+Nepal+Vol-5,+2021-68-83.pdf",source_id,source_file,7,599,7.marahatta_2021_nrate-density_m_n,"63-78+Agronomy+Journal+of+Nepal+Vol-5,+2021-68-83.pdf",Effect of plant densities and fertilizer rates on grain yield of spring maize in inner Terai condition,S. Marahatta,2019.0,2019.0,2019,season,7,1,spring,district,7,1,Chitwan,site,7,1,NMRP Rampur,province,7,1,Bagmati,municipality,7,1,NMRP Rampur,agroecology,0,0,,treatment_group,7,2,fertilizer_rate; plant_density,variety_name_std,0,0,,grain_yield_Mg_ha,7,7,4.117,3.397,4.587,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,7,1,27.666666666666668,27.666666666666668,27.666666666666668,,longitude,7,1,84.31666666666666,84.31666666666666,84.31666666666666,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
8.pandit_2025_nrate-ntime-udp_m_n | maize_demo_2019.xlsx,source_id,source_file,320,599,8.pandit_2025_nrate-ntime-udp_m_n,maize_demo_2019.xlsx,,,2019.0,2019.0,2019.0,season,0,0,,district,320,7,Dang; Doti; Kavre; Makawanpur; Nuwakot; Palpa; Surkhet,site,290,19,Babiyachaur; Bhakundebesi; Bidur Municipality; Chhatiwan; Devinagar; Dhikpur; Dipayal; Ghanteshwor; Kalyan; Kunathari; Laxmipur; Lekhpharsa; ... (+7 more),province,0,0,,municipality,290,19,Babiyachaur; Bhakundebesi; Bidur Municipality; Chhatiwan; Devinagar; Dhikpur; Dipayal; Ghanteshwor; Kalyan; Kunathari; Laxmipur; Lekhpharsa; ... (+7 more),agroecology,0,0,,treatment_group,320,2,4r_demonstration; not_classified,variety_name_std,0,0,,grain_yield_Mg_ha,320,313,8.00246,2.272,111.5,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,320,306,28.233058364130557,27.436786925570413,29.255899409763515,,longitude,320,306,82.15269243344665,80.57517810724676,85.64976744353771,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,False,True,n_rate; season,review_core_fields
